Trans Date,Store,Store Name,City,Brand,Txn,NetAmount,DiscAmount,Dine In Sale,Dine In Trans,Delivery Sale,Delivery Trans,3rd Party Sale,3rd Party Trans,Take Away Sale,Take Away Trans
01-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,104,26561.56,1129.6,17919.32,173,0,0,26354,190,6773,200
02-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,43,17200.81,786.91,14956.41,179,0,0,28340,106,4759,194
03-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,68,19428.47,1670.55,17484.67,176,0,0,28759,179,5469,125
04-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,96,27503.76,1016.2,23734.94,107,0,0,17313,108,4776,200
05-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,164,62061.52,1786.41,59844.72,144,0,0,16019,175,5116,167
06-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,193,70711.62,3085.68,68606.12,165,0,0,29613,159,2470,199
07-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,64,23074.88,912.89,21640.89,126,0,0,15795,120,3310,116
08-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,60,21053.35,549.6,20199.95,118,0,0,13835,119,3965,160
09-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,71,18536.18,748,17404.94,108,0,0,13232,105,2554,115
10-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,52,18916.61,1013.07,16946.74,192,0,0,28153,165,4866,177
11-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,83,29874.39,746.25,28273.19,112,0,0,27178,130,3914,190
12-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,163,71524.33,1230.52,69935.21,114,0,0,17182,138,2401,136
13-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,179,63803.07,1211.95,61676.07,125,0,0,12302,194,1920,195
14-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,77,23308.96,1083.17,21252.16,131,0,0,19362,189,4685,130
15-12-2020,BAN001,Phoenix Marketcity Mall,Bangalore,Wow! Momo,126,32410.04,668.76,19327.85,173,0,0,25896,142,5709,138
